tags	description
full-time-job salary supervising-job 2-4-years-experience-needed	Tumbleweed Tex Mex Grill & Margarita Bar has a management career position for successful managers that have the ability to communicate, learn, train and develop our team to deliver guest count growth and finacial rewards for the company and YOU!  Bring your initiave, drive and execution and we will provide the growth in your career.  We are the only Tex Mex restaurant company and we are driven to deliver big, bold flavors with a guest first atmosphere in a great place for our guests to escape.  With 32 locations, we've got plenty of growth opportunity for you.  Candidate’s Criteria:  • Minimum of 2 years Casual Dining Experience  •No more than 2 different jobs in the last 5 years  •Logical Progression throughout career   We Offer:  - A comprehensive 11 week Training Program in a certifed Training Unit - Health, Dental, Life, Disability and Vision Insurance - Flex Spending account & 401K - Competitive Pay - YMCA Partnership  - Your birthday is a paid holiday! - Opportunity for advancement for those who excel - Great Culture! - Starting salary is comensurate with expirience and results.          Entry Level Shift Manager (40 hours per week) $28,000          Assistant Managers start at $32,000  - $35,000 +          General Mangers $45,000 - $50,0000 + -Monthly and quarterly bonuses based on performance for all salaried managers
bs-degree-needed 2-4-years-experience-needed	SnapNames.com, a leader in the Internet domain name industry and the largest online marketplace for domain buyers and sellers, is looking for a Software Developer. Are you a passionate Software Engineer who is seeking a rewarding career that pushes the envelope of cutting edge technologies? If you love thinking creatively about how to use technology to solve business problems and enjoy working in a fast-paced, small team environment, this could be the job for you!  Responsibilities:  • Develop Internet-based software in support of SnapNames business strategy and objectives in the domain name market • Apply state of the art software engineering techniques to develop and maintain applications developed using Java and database technologies  • Work as a member of an experienced and highly productive engineering team  • Assume responsibility for significant product deliverables  Requirements:  • BS in Computer Science or equivalent  • 3+ years of industry experience developing enterprise software and multi-tiered, Internet-based applications  • Experienced with object-oriented programming using Java and software patterns in a J2EE environment  • Knowledge of database structure and usage, including experience with JDBC  • Working knowledge of PHP, XML, XSLT, Struts, and WebServices.  • Hands-on experience with Linux/Windows, HTML, JSP, Servlets, SQL and stored procedures (PL/SQL and TSQL), Tomcat, SVN or CVS, JMS / ActiveMQ, AJAX, and Bugzilla   Technical Requirements:  • Ability to extract and abstract the core essence of requirements, complex use cases, and scenarios  • Experience with agile and iterative development lifecycles  • Familiarity with source code control systems and applied release management principles and techniques  • Demonstrated problem solving, troubleshooting, and diagnostic skills  • Ability to properly document and unit test software designs and code • Understanding of technical peer-review approaches and techniques  • Domain name and DNS technology experience is a plus, as is experience with software testing, software development lifecycles, and project management.  Interpersonal Skills:  • Function effectively as an integral part of a cross-functional product team that includes representatives from engineering, marketing, operations, customer service, business development, and program management  • Communicate effectively in person, in writing, and in front of audiences  • Ability to collaborate constructively with other developers to engineer product solutions, including making appropriate design tradeoffs  • Apply diplomacy and tact internally and externally to the organization  • Exercise a commitment to quality and accuracy at a level appropriate to the project and organization  • Recognize and resolve ambiguous and conflicting objectives  • Negotiate achievable project timelines and manage them to meet project commitments  • Handle multiple time demands in an interrupt-driven environment  • Recognize and manage stressful situations  • Demonstrable industry track record of delivering commercial-quality software products and services    
	Stewart Optometry Group is looking to add an optometric technician to our growing practice. We currently have 3 locations in Smithfield, NC, Dunn and in the Garner/Clayton (40/42 area). Experience and spanish speakers are assets, but we are willing to train the right individual. Applicant must have reliable transportation, positive attitude and excellent people skills.
licence-needed	TMC has immediate openings for drivers living in the NE section of Texas – east of I-35 and north of I-10! We have a need for over-the-road drivers in this area, but dedicated opportunities are often available in the Dallas-Fort Worth region. If you live in the Dallas-Fort Worth area or east of I-35 and north of I-20 you will be home at least 46 out of 52 weekends a year. Texas drivers living south of I-20 and east of I-35 can expect to be home every other weekend.   At TMC, we provide our drivers with late model Peterbilt trucks that are maintained at the highest levels. If you've seen our trucks on the road you know this to be fact, not just empty promotion. We also give our OTR drivers the option on how they want to be paid, by mileage or percentage. Our performance based percentage pay package was designed by our drivers with the driver in mind, and is favored by 85% of our fleet. It provides drivers with the unique opportunity to be paid based on the quality of their work, rather than how long they've been with a company.   *Drivers that choose this package have the potential to earn the equivalent of 48 cents/mile in their second month with us.* Why wait for top mileage pay based only on tenure? You will haul flatbed freight throughout the lower 48 and Canada but most of your loads will deliver in the eastern half of the United States. We do not require any previous flatbed experience and hire recent truck driving school graduates. Our training program is a Department of Labor certified apprenticeship that will make you an expert in load securement, tarping, and open freight driving techniques, no matter your experience level!  *Up to a $2,500 sign on bonus!* Amount varies based on experience.  *Company Overview*  TMC is the largest privately owned flatbed trucking company in the United States. With over 40 years in the flatbed industry, no other carrier has a stronger flatbed freight base or better reputation for delivering excellent service. If you are looking for a job as a flatbed driver...drive for the best!  *Qualifications*  • Must be at least 23 years old before being assigned your own truck • Valid Class A CDL • Ability to pass DOT physical, drug screen, driving evaluation, work history verification, and driving record review  *Pay & Benefits*  • Tarp pay & other accessorial pay • Paid orientation & training • Paid vacation • BCBS medical, dental, vision & prescription drug plan • 401 (k) with company match • Assigned equipment; no slip-seating • *Department of Labor certified Apprenticeship Program – Veterans with VA education benefits may be eligible to draw on those benefits for up to 18 months during the Apprenticeship phase.*  *Why choose to drive for TMC over any other truck company?*  • *Culture* – Ask our drivers about our respect for them. We have high expectations for our drivers and we want drivers who have high expectations for us. The quality and reputations of our drivers are our best reference. • *Safety* – At TMC we know that your safety and the safety of the public come first. The investment we make in buying the best equipment, maintaining it vigilantly and providing the best safety features is evidenced by our outstanding CSA score. • *Reputation* – TMC is the standard bearer for flatbed companies. A TMC driver is an individual who wants to be a member of a team that strives to be the best at everything it does. Drivers here are proud that people all over the country know us by the cleanliness and sharpness of our fleet, even if they have never interacted with a truck driver. The quality of TMC’s drivers, equipment and service keep the best customers coming back to us day after day.  *Apply online or call  XXX *  
full-time-job salary supervising-job 2-4-years-experience-needed	C&L Ward has a fantastic opportunity for sales minded, full time Event Marketing Manager to be a part of the company's marketing team!   The EMM is a responsible for LEAD GENERATION  through event management, community relations and implementing face-to-face and lead conversion marketing strategies to meet organizational objectives.  He or she must have a succeeding SALES and appointment CLOSING ability and also be a strong and respected manager who will also will be a hands on working manager (works most events on weekends), coach, mentor, trainer & will develop the community marketing team to meet lead generation goals.  Knowledge, Skills, Abilities and Requirements: Essential: 1. Ability to plan, develop and motivate an event and lead generating marketing staff.  Highly developed leadership skills including setting sound objectives, developing and administering measurement tools and providing feedback effectively. 2. Ability to develop constructive and effective working relationships within and outside of the organization. 3. Demonstrated ability to communicate effectively orally and in writing with all levels of the organization and with external contacts. 4. Demonstrated knowledge and experience of needs analysis and/or consultative selling. STRONG LEAD CLOSING ABILITY.  5. Exhibits desirable and appropriate professional behavior including leadership, sense of urgency, independent judgment, teamwork, ability to get along with others, creative thinking and personal integrity to provide for a cohesive, productive marketing team dedicated to the achievement of corporate goals. 6. Ability to create and deliver powerful and effective presentations. 7. Demonstrated ability to develop programs and staff that are customer focused and the ability to instill this quality in others. 8. Highly effective time management and organizational skills, with the ability to instill these qualities in others. 9. Proven ability to exercise sound judgment both in sales, marketing, human resources and act accordingly as part of a management team. 10. Demonstrated ability to design, communicate and execute effective lead forecasts and budgets. 11.  Must project polish with a professional and positive corporate image.  12. Ability to work in a complete customer satisfaction environment. 13. Ability to develop action plans, organize work and staff, meet deadlines, hold personnel accountable and follow-up on problems or issues. 14. Ability to effectively organize and plan day to day work by defining department needs and priorities. 15. Ability to evaluate department processes and procedures, recommend and suggest needed changes, and coordinate and implement new processes or procedures.  Preferred: 1. Knowledge and understanding of the home improvement industry with emphasis on exterior building materials such as windows, doors, siding, roofing, & gutter protection.   Duties and Responsibilities: 1. Works with VP of Marketing to plan, organize, and participate in the coordination of all face to face, non-media and digital related marketing activities such as: shows & events, community relations. 2. Establishes lead generation budgets, expectations, and responsibilities for the marketing team members and event vendors. Appraises and communicates performance relative to achievement of these goals. 3. Development of campaign forecasts and measurement metrics to measure lead generation performance and effectiveness against plan and adjustments of plan as needed to achieve desired results. 4. Recommends & develops strategies, plans, and/or marketing collateral to increase lead generation results. 5. Provides a weekly lead generation activity plan and reports to the VP of Marketing. 6. Directs all facets of event programs which includes all hiring, training, scheduling, and logistics. 7. Recommends, high performing marketing reps for promotion and advancement opportunities. 8. Responsible for the conversion of all  C&L Ward leads into qualified sales appointments for the sales team.  Target goal of 50% or greater inquiry to appt set ratio.  9. Regularly communicates and participates with the Sales Management team to better understand market trends, opportunities and threats facing the company. 10. Works to ensure the highest level of company image in the community. 11. Ensures all company policies and procedures are followed. Handles employee grievances in accordance with company policies and employee handbook. Ensures that all personnel understand and comply with all state and federal rules, regulations and laws. 12. Hires, trains, develops, coaches, mentors and evaluates the outside lead generation team(s).  13. Coordinates and works all outside events to train and coach staff and evaluates effective ROI. 15. Performs other related duties as required or assigned.  Working Conditions 1. Majority of the time will be spent in the office, out in the community community and at training and mentoring promotional events & activities, driving outside lead generation. 2. Typical Business Hours: Weekly hours will vary depending on event & activity scheduling. 3. Saturday/Sunday/Evening hours will be required for promotional events & activities. Will adjust schedule during the week if working weekend events.   Minimum Requirements Education: Bachelor Degree preferred. Some college required. Experience:3 + years related progressive industry experience in event management and/or marketing leadership roles.  Experience in managing and developing effective teams, budgets, and plans. Must possess proven background in driving sales through lead generation.  Special Conditions of Employment 1. Valid Michigan driver license is a condition of initial and continued employment. Chauffer’s License preferred. 2. Approved Background check is a condition of initial and continued employment. 3. Approved Drug Test is a contingency of initial and continued employment.  Compensation Salary, plus incentive pay, based on experience and a competitive benefit package.
supervising-job	Receiving & Inventory Control Supervisor      Growing Hartford, CT area based wholesale-distributor of construction supplies is seeking an experienced and hands-on Receiving & Inventory Control Supervisor to help lead the company into its next phase of warehouse process automation in a high service level environment.    This position is responsible for all receiving, stock put-away, storage location assignment and control as well as all scheduled inventory cycle counting activities. This position will work closely with purchasing management and distribution center operations management.     The specific knowledge, skills and personal attributes we seek is as follows:    ….must have warehouse management system experience, including previous experience in bar code and RF system planning and implementation    ….training and development skills and effective interpersonal skills, with the ability to develop high-performance teams; direct, coach, support and delegate to associates.    ….effective communicator up, down and across the organization    ....technical skills in warehouse process improvement and inventory control with the ability to develop effective processes and deploy them based on “best practices”    ….ability to think ahead and plan for change    ….ability to analyze problems and develop problem resolution at both strategic and functional level    ….previous experience in successful inventory cycle counting    ….ability to operate warehouse equipment, including forklift certification      If this is you, then forward your resume to our recruiter (no cover letter is required) for immediate consideration. All candidates must live within commutable distance.  
2-4-years-experience-needed	Position Description: We are looking for a Java software developer who enjoys building leading edge web-based applications.  The candidate must be highly motivated and have at least two years of hands on Java programming experience.  The candidate will be a critical member of a small team using agile based processes to create our software systems.  The candidate should enjoy the challenge of learning and applying new tools and technologies to solve our business problems. The Developers on the team will mentor the candidate as needed.  The candidate will work with a GWT based user interface to create the next generation of our services.  The development and production environments use Linux, Tomcat, MongoDB and Elasticsearch systems.  Some of the development tools used are: Eclipse, Maven, Mercurial, Java, Jenkins, Sonar, WebDriver, Google Web Tools and Ext Google Web Tools.  We prefer candidates who have Google Web Tools experience and someone with 2+ years experience with: Web development, particularly with HTML, CSS and JavaScript  Java and Object Oriented Development  TDD and/or BDD, dependency injection, Guice, and continuous integration
5-plus-years-experience-needed supervising-job	MUST HAVE CLASS B CDL and Logistics Management Experience to be considered.    The Propane Manager is responsible for the logistics operations of the Propane / Fuel departments. Duties include overseeing the fuel, propane, fuel oil, lubrication and maintenance division delivery.     The Propane Manager is a key member of the company’s operational team and drives the timely delivery of product through the leadership of the dispatching function. Subordinates include: Dispatchers and Propane / Fuel Route Drivers    Qualifications:    1.  10 years of logistics experience   2.   Must have Class B CDL.  3.   Must understand delivery policies, degree days and k factor  4.   Understand NFPA 54 and technical aspect of propane service work  5.   Understand credit limits and how to apply them.  6.   Expert capabilities to resolve complex logistical requirements of multiple product lines serving broad geographical regions.  7.   Computer skills, including at least Outlook, Word, Excel. Experience with transportation-based software required (People.net or Firestream preferred).  8.   Willingness to “roll up his sleeves” and do what is necessary to get the job done.  9.   Honesty, integrity and a strong desire to succeed.  10.   Excellent organizational and communication skills.  11.   Ability to deal tactfully in human issues with colleagues.  12.   Ability to meet deadlines and work under pressure.    No Relocation package.
	OPPORTUNITY isn’t knocking… It’s banging on the door!!   Got the spark? The smile? Come on in! It’s more than a job! More than a place to work and collect a check! It’s a state of mind! Who says you can’t have fun at work? Fun, excitement, and great times! They can all be yours here every day!                                                    We are a fast growing event marketing company in the Riverside area. We specialize in working in the Auto Glass industry (which happens to be an $8 million dollar a year industry) This trade is able to provide CONSISTENT WORK AND PAY due to the fact that rock chips happen all the time.  We also have contracts with the some of the biggest clients in the Sporting and Racing car care industry!   If you are tired of being in a job that slows down every season, then you will enjoy working in our fast paced environment that never runs out of work. All of our clients’ exposure is organized through events and on site promotions at businesses and corporations in Riverside and surrounding areas. Our marketing reps are at these events on a daily basis!! We provide clients with a professionally trained promotional marketing staff to greet potential customers with a smile and a handshake.   We’re looking for a few great individuals to join our marketing staff, help us run and operate our events and grow with us! If you like making people happy, having fun and making great money at the same time, send us your resume! Even if you have no experience, we provide training!   Flexible hours available to balance life and work   NO DOOR TO DOOR OR BUSINESS TO BUSINESS!!   We are looking for team players, creative thinkers and self motivators who are goal oriented and have a knack for working with people. Our mentoring program supports each individual with training, encouragement and opportunity.   Send us your resume by copy and pasting it into an email (no attachments) or you can contact Fay in our HR Dept at  XXX  to set up an immediate interview with our hiring manager.  IMPORTANT QUALIFICATIONS- All applicants must be:   1. COMPETITIVE, individuals to take our company to the next level.   2. DETERMINED to satisfy client needs   3. DEMONSTRATE GREAT COMMUNICATION & PERSONAL SKILLS  4. LEADERSHIP qualities   5. TAKE CHARGE personality   6. BUSINESS MINDSET  7. Must be able to PASS a background check  8. RELIABLE Transportation  
full-time-job licence-needed hourly-wage	Opening new office in Austin, in need of an experienced paralegal,  preference is work history in Family based immigration, or Deport.  Experience in Criminal and General Civil a plus.   Salary target is $12 -$15 hourly, but negotiable based on experience.  40 hours per week.  Telephonic interview available. Please Contact Perla Morales  XXX    you may fax your resume to  XXX , along with salary history, and references.
5-plus-years-experience-needed supervising-job	*H2H Technology is a security consulting and professional services firm delivering information security solutions to Fortune 500 customers. Looking for a Sr. Network Engineer*  Our consultants can expect to: • Be treated with respect and integrity • Work with cutting edge technology • Deliver high-quality solutions across multiple industries • Work on a variety of projects ranging in both size and scope • Receive continuous training • Engage in fast paced, exciting environments  *Sr. Network Engineer* Our consultants assist companies with the identification, evaluation of security gaps and the subsequent delivery of solutions to remediate these security gaps.  They also anticipate security requirements and identify sound security controls for applications, systems, processes and organizations.   We are currently searching for an F5 Subject Matter Expert.  *Key Responsibilities may include:* * Designing, deploying, and supporting F5 ASM, LTM, and GTM solutions.  * Configure VIPs and Health Check Monitors. * Communicate with all levels of clients, follow methodologies, and create/present clear, concise deliverables * Demonstrate technical expertise with load balancing and networking. * Create custom scripts where applicable   *Basic Qualifications:* * Must have hands on experience working with F5 * Minimum 5+ years of information network / security experience * Hands on networking skills with network and load balancing technologies including F5, Juniper, Citrix, and Cisco  *Professional Skill Requirements:* * Eagerness to contribute in a team-oriented environment * Ability to work creatively and analytically in a problem-solving environment * Desire to work in an information systems environment * Excellent communication (written and oral) and interpersonal skills * Conceptual knowledge of any of the following regulations: PCI, Sarbanes-Oxley, HIPAA, GLBA, FISMA is helpful * General overall knowledge of network and server infrastructure  Applicants for employment in the U.S. must possess work authorization which does not require sponsorship by the employer for a visa - We are an Equal Opportunity Employer.   Sr. Network Engineer
salary bs-degree-needed 2-4-years-experience-needed	K-12 Teachers Alliance partners with universities across the United States to bring off-campus and online master’s degree and certification programs to teachers and principals to help them reach their career goals.  It is our responsibility to create these off-campus cohort programs with marketing efforts.  We are not a telemarketing call center.  With our continued growth, we are excited to be expanding our cohort teams by hiring multiple energetic account coordinators this summer to support our new and existing university partners.  This  entry-level position supports marketing initiatives and provides 'over-the-top' customer service to current and prospective students enrolled in cohort (off-campus) degree and online programs.  Positions are based in Frankfort, IL (south suburb of Chicago).  If you have outstanding writing, grammar, presentation and phone skills, please read on!    JOB RESPONSIBILITIES: •Build productive customer relationships with current and prospective students to meet recruitment and enrollment targets.  Establish strong relationships with university staff and internal K-12 Teachers Alliance team. • Effectively communicate via telephone and email correspondence to provide information, respond to inquiries, support the application and registration processes in support of the students (who are teachers seeking master’s degrees).   • Execute standard operating procedures to ensure appropriate support and marketing of all programs to educators, administrators and other constituents.  • Travel to and conduct in-person presentations and group meetings to provide information about degree programs to areas where cohort programs are being offered.  Ability to conduct WebEx meetings with potential students. •  Establish and update student records in Salesforce database as needed.  JOB REQUIREMENTS: • Two year’s experience in Sales/Marketing/Customer Service • Demonstrated knowledge of Microsoft Excel • Degree preferred  WHAT YOU NEED IN ORDER TO SUCCEED AT KTA: • Strong command of business English and grammar usage which must be displayed in writing and on the phone. • Comfortable speaking on phone energetically with teachers, principals and university partners. • Confident and engaging presentation skills. • Ability to handle high volume and work under tight deadlines with a positive disposition. • A natural entrepreneurial spirit and strong desire to meet and exceed objectives, with a commitment to high standards. • Ability to collaborate with teams to execute projects; proven ability to excel at working independently to meet goals. • Versatility, flexibility, and a willingness to adapt to change with enthusiasm. • Open to ongoing feedback; must be coachable.  WORK ENVIRONMENT: • Typical office environment; no known hazards. • Up to 10% travel required usually after 6 months.  OUR COMPANY OFFERS: 401k plan 3 weeks of paid time off Option to take 1 week additional unpaid time off in summer Company-paid holidays Opportunity to travel within United States  Classroom training and continuing personal coaching Recognition programs Strong team environment Employee Assistance Program Advancement opportunities are available within 1st year (100% promotion from within) Medical insurance is not provided (State of Illinois will have insurance plan available to all January 2014)   SALARY: Position pays mid 30's commensurate with experience with no commission or bonus  This is an outstanding opportunity for recent college grads or those looking to make a change in their careers.  If interested, candidates should include a cover letter with their resume.  (Only resumes submitted with a cover letter will be reviewed!)
salary supervising-job 2-4-years-experience-needed	High Volume restaurant company looking to hire a GM, Managers and Kitchen Managers with the ability to advance with locations in Edison, Summit, northern New Jersey, central NJ and NYC.  Strong concept opening several units in the northern NJ area.  Good growth opportunities, benefits and bonus.  At least 2 + years of experience working in a casual theme to upscale dining, full serve restaurant in management required.  $38,000 to $78,000 per year  Send your resume and salary requirements.
	Oceanfront Fitness LLC is looking for great for Professional Bootcamp Instructors for its Outdoor Fitness Series. There are several locations and classes available.  This is a great opportunity to build your career as a Fitness Professional in South Florida. Instructors will also have the opportunity to teach small group, and private sessions to Oceanfront Fitness clients. Please visit www.example.com or www.example.com for more information.  Benefits include Competitive Compensation, Direct Deposit, Free Membership, Be part of a team of elite instructors, access to private clients.
full-time-job bs-degree-needed 5-plus-years-experience-needed	*Who are we?*   Mediaocean the acknowledged leader in systems and software for the advertising industry was created to give advertising agencies power over technology in a changing landscape by creating a global, open, and neutral operating system for the advertising business. We’re changing the way the world thinks about online advertising technology solutions.  Learn more at www.example.com.   *What we need:* We’re looking for a *Senior Oracle Developer/DBA* to join our team in Chicago or NYC. The position reports to the VP of Data Services.  *Where are we?*  Our downtown NYC office is located in NYC’s Flatiron District neighborhood (w 18th b/w 6th & 7th).  Our downtown Chicago office is located in the River North Neighborhood w/ easy access to the Chicago brown line top.   *What you’ll do:* • Develop, design and maintain database application and data integration solutions • Monitor the performance of production databases, identify areas where performance needs to be improved and provide fixes/solutions for the performance issues • Analyze the data flow of existing products and document the processes • Develop database tools to automate existing database tasks • Create and maintain reports needed by various business units • Implement solutions for maintaining user account data across various products • Participate in the ongoing support/training of developed applications • Respond appropriately to emergency technical support situations and produce quick and effective solutions to business problems • Work with database personnel to design physical and logical databases to support present / future business application • More!  *What you’ll bring to the job:* • Bachelor degree in Computer Science or related or equivalent experience • 5+ years of hands-on Oracle PL/SQL development experience with lots of passion for Performance Tuning at both SQL and system levels • 5+ years of OLTP data modeling (logical and physical) • Strong Oracle Database Administration / Engineering experience on a Large Scale Systems and Data Warehouse/Data Marts • Solid exposure to application development processes and expectations from an Application DBA point of view • Solid skills in Scalability / Performance / Tuning of both software and hardware • Strong database performance factors, monitoring tools and tuning procedures • Strong Shell/Perl scripting experience with the ability to automate partitions and table spaces • Unix/Linux knowledge / experience  • Oracle 11g experience   • Proven ability to work independently or as an integral member of a team • Excellent communication skills - ability to work with development teams  *What we offer:* • We are a private company which means we are not focused on shareholders instead we are dedicated to our employees and our clients! • Great traditional benefits including healthcare, dental, vision, paid time off, etc.  • Competitive compensation packages of course                              • Ample opportunity for career growth and continuous development  • We value our employees! Here you not only have a voice, but also the ability to make a *HUGE* impact! • We are smart and passionate; if you want to be surrounded by hard working, industry leading professionals *do not hesitate to apply today!*
	We are looking for support engineer to help our clients migrate to Windows 7. The focus will be on desktop applications and the utilities and tools required to support those applications. The applications need to be inventoried, source code location determined, steps to creating a build, test plans created and close interactions with subject matter experts.  Great customer relationship skills, writing skills and planning skills a must.
part-time-job 1-year-experience-needed hourly-wage	Are you looking for a Challenging and Rewarding Position. We are hiring for a PT Direct Care Job Coach at our Adult Day Program (32.5 hours a week plus an additional 3.0 hours a month), working with the developmentally disabled adult population in our El Cajon, CA facility;. Extensive training provided. Raises and bonuses given for exceptional performance; overtime opportunities available. Hours 7:45 AM to 2:15PM, 2x a month 7:45am - 2:45pm ($9.00-$10.00an hour).  Must be 18 years old and have a high school diploma. Must have one year experience in implementation of behavior modification programs with severe behavior problems. Requires specialized skills in data collection, teaching techniques, program implementation and supervision of direct care staff. Must be able to pass our health screening, physical and background fingerprinting check. Must have clean driving record and be able to obtain a Class B drivers license within 90 days. Must be CPR and first Aid certified within first 30 days of employment.  Job Duties Include: Carry out meaningful community experiences that include vocational, transportation, safety, communication, social, recreational and community based training Implement measurable consumer goals Provide on the job training and support to consumers Track and summarize consumer ID notes, goals, monthly summaries Attend to consumer personal needs Ability to provide physical assistance to clients Promising Futures Inc. is committed to providing exceptional programs to individuals with developmental disabilities who are currently not being served and/or who are underserved in our community. This population usually presents serious communication and behavior disorders that put them at high risk for state hospitalization, repeated failure, idleness, lack of progress in skill development and of course, abuse. Other developmentally disabled individuals with intense needs such as medically fragile/non-ambulatory are often asked to accept idle/unproductive lifestyles that are unacceptable to the general physically challenged population.Our goal is to develop a supportive environment that provides structure and measurable success to these unique populations.  Please visit our website for more information regarding open positions at www.example.com. Please include month and year dates for each position, whether the job was FT or PT, hours of availability, what position you are interested in, and salary expectations in your cover letter. Email resume or fax to  XXX  Candidates can also apply in person at 109 E. Lexington Ave, El Cajon, CA 92020      Location: El Cajon     Compensation: $9.00 - $10.00 DOE     This is a part-time job.     This is at a non-profit organization.     Principals only. Recruiters, please don't contact this job poster.     Please do not contact job poster about other services, products or commercial interests.
full-time-job salary	Busy urology practice is seeking an *experienced* full-time medical biller with a strong background in collections.  The ideal candidate will be self-disciplined, have excellent communication/customer service skills, and working experience with accounts receivable, writing appeal letters and calling insurance companies.  Experience with MS Office is a plus.  We offer competitive salary and benefits.  For consideration, please email resume including salary requirements.
	CAFE ON THE GREEN NEEDS PERSONEL THAT ARE ENERGENIC, OUTGOING, CUSTOMER ORIENTED, GOOD WORK ETHIC, FAST LEARNER, SENSE OF HUMOR, ENTHUSIASTIC, AND FEEL APRECIATED. IF YOU HAVE THESE QUALITIES, THEN AWARD WINNING CAFE ON THE GREEN RESTAURANT WANTS YOU.  AT CAFE ON THE GREEN OUR TEAM MEMBERS WILL RECIEVE COMPETITIVE PAY, A FLEXABLE SCHEDULE, TRAINING , AND A GREAT EXPERIENCE. IF YOU HAVE THE DESIRE TO JOIN OUR RESTAURANT, WE ENCOURAGE YOU TO CALL  XXX  ASK FOR LUIS OR TRACEY
supervising-job	Flexible hours, culture and International travel bonuses are just the beginning of what you will enjoy by working with our International high school students.  International Student Exchange (ISE)is now hiring a student exchange recruiter to place and supervise our foreign students in your area.   ISE is a premier student exchange program that prides their selves in hiring only highly qualified candidates to join this elite organization.   We would love to hear from you if you meet the criteria listed below and you are committed to helping get the job done by working together under the experienced regional leadership of ISE.  Student Exchange Recruiter criteria: *Experienced in working with teens through church, coaching, counseling, teaching, former host   family etc.  • Goal oriented, dependable and a team player *Self-motivated with a proven ability to complete tasks and achieve goals, while being home      based • Strong desire to bridge cultural gaps and reach for those International travel bonuses * Work directly with Regional advisor to expand the host family base in your area • Sales and Social network marketing background a plus • Home office a plus- internet access required *Training is provided and required Applicant must be 25 yrs or older and submit to criminal background check, based on Dept of State regulations. • Industry leading compensation/bonuses in addition to International travel bonuses  If boring office jobs interest you, please don't apply.  But if you like meeting new people, having flexible home based hours, and being rewarded for a job well done.  Then you are the candidate for us!   Apply online at www.example.com NOW! 
full-time-job salary bs-degree-needed supervising-job 2-4-years-experience-needed	Responsibilities:  • Responsible for all activities ensuring a smooth and efficient handling of the hot and cold kitchen, pastry and food assembly department  • Oversee all aspects of production using forecasted passenger numbers  • Liaise with department heads to roll out Microsoft based production planning tools  • Ensure the correct level of plated meals are prepared, based on the daily flight logs  • Maintain an accurate account of production to ensure correct packing levels in addition to maintaining the quantified specifications of each individual airline production  • Supervise and direct staff members to adhere to the individual specifications and DO & CO quality standards  • Liaise with executive chefs to coordinate daily production goals while maintaining most efficient staff levels  • Quantify and supervise the daily production  • Work closely with account managers in regards to their respective needs for meals  • Communicate with chefs regarding production level and required items for all meals  • Attend department meetings in conjunction with head chefs to discuss problems and implement solutions   • Continuous training and development of staff members     Qualifications:  • 4 year University degree   • Min. of 3 - 5 years of work experience   • High end culinary knowledge and experience  • HACCP knowledge   • Computer skills, incl. Microsoft Navision  • Absolute dedication to quality  • Experience with quality assurance programs  • Ability to work well within a team as well as independently   • Excellent planning and coordination skills  • Outstanding good communication and leadership skills   • Ability to work well in a fast paced environment and with a diverse clientele  • Hands-on approach, forward thinking, self-driven and dedicated individual  • Ability to complete assigned tasks within the given time in order to meet strict deadlines  • Flexibility (different shifts - night, weekends, holidays)   • Professional appearance   • Awareness of the operational sequences     We offer:   • A renowned, international company, continually expanding, offering a stable workplace with great career opportunities   • A diverse, international and dynamic work environment   • The opportunity to travel (international events and/or units)   • Support for continuous professional development   • A benefit package incl. medical, dental, vision, holidays, vacation and sick time   • A free meal a day plus work clothes specific to your job   • Negotiable salary with the prospect of performance-based compensation    Do you want to join a highly motivated and diverse team and develop within an internationally renowned company?     We look forward to receiving your application (if you are eligible to work within the US).     Please apply online at www.example.com    DO & CO New York Catering, Inc.  Human Resources    XXX  Street  Jamaica, NY 11430  Tel.:+ XXX /35  Fax.: + XXX   www.example.com    This job description is not exhaustive of all job responsibilities. Other tasks may be added by the Management according to business requirements.    
